Date,Comment,tokens_stopword,clean_text
2026-03-21T04:20:33Z,"['kalau', 'prabowo', 'sungguh', 'mau', 'menerima', 'masukan', 'undang', 'panji', 'gumilang', 'rocky', 'gerung', 'dharma', 'pongrekun']","['kalau', 'prabowo', 'sungguh', 'mau', 'menerima', 'masukan', 'undang', 'panji', 'gumilang', 'rocky', 'gerung', 'dharma', 'pongrekun']",kalau prabowo sungguh mau menerima masukan undang panji gumilang rocky gerung dharma pongrekun
2026-03-21T04:14:32Z,"['sebetulnya', 'prabowo', 'paham', 'permasalahan', 'negara', 'kitatapi']","['prabowo', 'paham', 'permasalahan', 'negara', 'kitatapi']",prabowo paham permasalahan negara kitatapi
2026-03-21T04:12:56Z,"['termul', 'grombolan', 'penipu']","['termul', 'grombolan', 'penipu']",termul grombolan penipu
2026-03-21T04:11:42Z,"['kemon', 'omon', 'omon']","['kemon', 'omon', 'omon']",kemon omon omon
2026-03-21T04:10:54Z,"['pak', 'bapak', 'prabowo', 'hapunten', 'bapak', 'belum', 'bisa', 'memimpin', 'negara', 'indonesia', 'semoga', 'pak', 'prabowo', 'bisa', 'menyadari', 'dan', 'semoga', 'rakyat', 'indonesia', 'sejahtera']","['prabowo', 'hapunten', 'memimpin', 'negara', 'indonesia', 'semoga', 'prabowo', 'menyadari', 'semoga', 'rakyat', 'indonesia', 'sejahtera']",prabowo hapunten memimpin negara indonesia semoga prabowo menyadari semoga rakyat indonesia sejahtera
2026-03-21T04:10:38Z,"['terserah', 'bapak', 'dah']","['terserah', 'dah']",terserah dah
2026-03-21T04:07:56Z,"['yah', 'namanya', 'juga', 'sibuk', 'ngurusin', 'tetangga', 'kesikut', 'dikit', 'baper', 'bilangnya', 'mahzab', 'akal', 'sehat']","['yah', 'namanya', 'sibuk', 'ngurusin', 'tetangga', 'kesikut', 'dikit', 'baper', 'bilangnya', 'mahzab', 'akal', 'sehat']",yah namanya sibuk ngurusin tetangga kesikut dikit baper bilangnya mahzab akal sehat
2026-03-21T04:07:24Z,"['dengan', 'segala', 'hormat', 'bapak', 'baru', 'import', 'mobil', 'india']","['segala', 'hormat', 'baru', 'import', 'mobil', 'india']",segala hormat baru import mobil india
2026-03-21T04:05:27Z,"['pada', 'pakai', 'batu', 'bara', 'lebih', 'baik', 'plta', 'tanpa', 'merusak', 'alam']","['pakai', 'batu', 'bara', 'lebih', 'baik', 'plta', 'merusak', 'alam']",pakai batu bara lebih baik plta merusak alam
2026-03-21T04:04:17Z,"['biasanya', 'kalo', 'kucing', 'jantan', 'abis', 'steril', 'badan', 'jdi', 'gemoy', 'jadi', 'lebih', 'sehat', 'anteng', 'rumah', 'dan', 'tidak', 'gragas', 'kalo', 'lagi', 'birahi']","['biasanya', 'kalo', 'kucing', 'jantan', 'abis', 'steril', 'badan', 'jdi', 'gemoy', 'lebih', 'sehat', 'anteng', 'rumah', 'tidak', 'gragas', 'kalo', 'birahi']",biasanya kalo kucing jantan abis steril badan jdi gemoy lebih sehat anteng rumah tidak gragas kalo birahi
2026-03-21T04:04:04Z,"['saya', 'belajar', 'banyak', 'soal', 'diplomasi', 'secara', 'profesional', 'dari', 'video', 'ini', 'dibagian', 'nana', 'straight', 'the', 'line', 'tidak', 'goyah', 'wlpun', 'yang', 'dihadapi', 'orang', 'nomor']","['belajar', 'banyak', 'soal', 'diplomasi', 'profesional', 'video', 'dibagian', 'nana', 'straight', 'the', 'line', 'tidak', 'goyah', 'wlpun', 'dihadapi', 'orang', 'nomor']",belajar banyak soal diplomasi profesional video dibagian nana straight the line tidak goyah wlpun dihadapi orang nomor
2026-03-21T04:02:36Z,"['bayangkan', 'muka', 'orang', 'orang', 'pinter', 'ini', 'prabowo', 'bilang', 'quot', 'anak', 'anak', 'lebih', 'pintar']","['bayangkan', 'muka', 'orang', 'orang', 'pinter', 'prabowo', 'bilang', 'quot', 'anak', 'anak', 'lebih', 'pintar']",bayangkan muka orang orang pinter prabowo bilang quot anak anak lebih pintar
